candidate_id,rank,score,reasoning
CAND_0046525,1,171.03,"Senior Machine Learning Engineer at Genpact AI with 6.1 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0077337,2,169.93,"Staff Machine Learning Engineer at Paytm with 7.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0002025,3,169.87,"Senior AI Engineer at Apple with 5.9 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a strong recruiter-response history."
CAND_0064326,4,169.34,"Search Engineer at Sarvam AI with 7.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0018499,5,168.54,"Senior Machine Learning Engineer at Zomato with 7.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0068811,6,168.36,"Applied ML Engineer at Freshworks with 8.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0081846,7,168.06,"Lead AI Engineer at Razorpay with 6.7 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0096142,8,165.55,"Applied ML Engineer at upGrad with 5.0 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0086022,9,165.4,"Senior Applied Scientist at Sarvam AI with 5.3 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows available within a 30-day notice period, a logistics fit for the Pune/Noida hybrid setup."
CAND_0018722,10,165.06,"Recommendation Systems Engineer at Saarthi.ai with 6.6 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, a strong recruiter-response history."
CAND_0024466,11,164.77,"Search Engineer at PharmEasy with 5.2 years of experience, bringing hands-on production experience with vector databases or hybrid search and experience designing ranking evaluation frameworks (NDCG/MRR/MAP). Also shows a logistics fit for the Pune/Noida hybrid setup, profile substance that closely matches the role, not just keyword overlap."
